1	5.63333333333	11.6	11.6666666667	4.46666666667	5.73333333333	1.43333333333	16.4666666667
2	17.3666666667	10.8	19.0333333333	17.7333333333	23.4333333333	19.6333333333	23.3666666667
3	16.0	31.9333333333	23.0	34.0666666667	20.2	29.3666666667	23.9
4	42.2666666667	24.0	27.1333333333	41.8	42.3666666667	43.0333333333	42.7
5	49.4333333333	56.0333333333	44.3	45.0666666667	34.1666666667	39.0	32.6
6	33.5333333333	49.6333333333	47.9	52.0666666667	46.9	51.6333333333	39.4333333333
7	49.7666666667	57.3	47.9	94.4333333333	51.2666666667	55.3666666667	63.0666666667
8	55.9333333333	52.2333333333	68.3	76.4333333333	73.7333333333	52.8666666667	52.5666666667
9	72.2333333333	79.9	67.1666666667	88.9333333333	80.3333333333	80.4	67.3666666667
10	73.7	76.7333333333	76.3333333333	76.1666666667	83.7666666667	91.6666666667	62.4
11	68.1666666667	82.4666666667	74.1333333333	102.133333333	95.6333333333	82.7666666667	83.6333333333
12	88.4666666667	82.2	90.8666666667	98.0333333333	88.7333333333	86.9666666667	90.0666666667
13	88.8333333333	88.5	77.3333333333	127.633333333	91.4	103.266666667	80.5666666667
14	100.533333333	95.9333333333	89.7666666667	121.433333333	92.8	106.333333333	69.5333333333
15	90.5666666667	109.3	90.4	119.966666667	106.666666667	103.766666667	88.2666666667
16	112.333333333	104.266666667	123.9	142.966666667	112.2	90.3666666667	93.6
17	95.6	119.066666667	97.9333333333	134.533333333	123.333333333	104.833333333	101.333333333
18	110.533333333	121.3	110.166666667	145.8	140.366666667	115.666666667	106.933333333
19	103.933333333	105.1	120.8	155.366666667	142.933333333	124.833333333	100.733333333
20	120.7	127.866666667	129.7	177.633333333	142.566666667	121.7	103.7
21	109.6	129.266666667	136.266666667	192.3	138.233333333	147.0	111.7
22	127.9	140.666666667	139.5	182.133333333	150.9	133.6	135.766666667
23	126.066666667	130.1	124.333333333	200.033333333	146.4	137.6	118.666666667
24	139.366666667	136.866666667	146.0	206.333333333	169.533333333	133.3	143.033333333
25	156.266666667	147.2	136.733333333	201.633333333	174.5	147.066666667	136.466666667
26	128.366666667	140.6	160.433333333	229.533333333	171.466666667	137.166666667	126.1
27	146.2	152.233333333	144.766666667	213.033333333	171.033333333	158.766666667	155.733333333
28	142.366666667	169.133333333	159.8	229.366666667	178.7	150.933333333	137.466666667
29	142.633333333	149.333333333	154.666666667	235.6	186.333333333	151.233333333	165.833333333
30	156.333333333	171.566666667	175.933333333	237.033333333	174.666666667	161.733333333	153.433333333
